time,latitude,longitude,magnitude
2019-07-04 17:40:18.520,35.707,-117.5101667,4.13
2019-07-04 17:40:34.900,35.6948333,-117.5018333,3.54
2019-07-04 17:43:29.200,35.6783,-117.5488,3.6
2019-07-04 17:44:32.820,35.6875,-117.5071667,3.86
2019-07-04 17:47:17.810,35.7455,-117.5465,3.5
2019-07-04 18:01:23.180,35.6876667,-117.5085,3.53
2019-07-04 18:06:16.110,35.6606667,-117.523,3.79
2019-07-04 18:07:09.270,35.5991667,-117.6101667,3.51
2019-07-04 18:08:45.070,35.7108333,-117.4768333,3.55
2019-07-04 18:13:51.400,35.7081667,-117.485,3.5
2019-07-04 18:27:59.440,35.745,-117.5521667,4.23
2019-07-04 18:28:43.640,35.6661667,-117.5656667,3.75
2019-07-04 18:39:44.440,35.6013333,-117.597,4.59
2019-07-04 18:47:06.590,35.6758333,-117.4853333,4.34
2019-07-04 18:47:22.600,35.6755,-117.472,4.02
2019-07-04 18:50:15.910,35.682,-117.4961667,3.7
2019-07-04 18:54:13.990,35.5975,-117.5996667,4.07
2019-07-04 18:56:06.420,35.716,-117.56,4.58
2019-07-04 18:56:22.030,35.7086667,-117.5541667,4.21
2019-07-04 19:21:32.090,35.6715,-117.4788333,4.5
2019-07-04 19:56:00.500,35.6623333,-117.524,4.16
2019-07-04 20:14:50.340,35.6991667,-117.5125,3.99
2019-07-04 22:05:22.270,35.7115,-117.477,3.56
2019-07-04 22:12:08.490,35.7463333,-117.5636667,4.43
2019-07-04 23:12:40.400,35.6731667,-117.4713333,3.53
2019-07-04 23:34:00.630,35.6623333,-117.5245,3.82
2019-07-04 23:34:02.380,35.6011667,-117.6106667,4.04
2019-07-04 23:42:33.830,35.7478333,-117.5678333,3.72
2019-07-05 00:18:01.410,35.7718333,-117.6178333,4.04
2019-07-05 00:32:06.670,35.7033333,-117.4828333,4.02
2019-07-05 00:45:39.460,35.6946667,-117.5083333,3.85
2019-07-05 02:01:59.010,35.6401667,-117.5461667,3.98
2019-07-05 04:11:38.570,35.722,-117.5545,3.53
2019-07-05 04:14:45.300,35.6993333,-117.481,3.56
2019-07-05 06:09:23.110,35.6228333,-117.5716667,3.65
2019-07-05 07:27:37.110,35.7503333,-117.5631667,3.72
2019-07-05 09:46:29.080,35.6496667,-117.5481667,3.62
2019-07-05 10:59:38.920,35.602,-117.5901667,3.54
2019-07-05 11:07:53.040,35.7603333,-117.575,5.37
2019-07-05 11:08:40.190,35.7575,-117.5715,3.75
2019-07-05 12:38:30.020,35.7716667,-117.5706667,4.09
2019-07-05 12:55:04.830,35.7515,-117.5643333,3.65
2019-07-05 14:39:33.450,35.7421667,-117.5666667,3.94
2019-07-05 17:02:36.510,35.6175,-117.5796667,3.84
2019-07-06 00:13:02.720,35.7281667,-117.5618333,3.5
2019-07-06 00:51:25.700,35.7501667,-117.5841667,3.67
2019-07-06 03:16:32.480,35.7253333,-117.5535,4.97
2019-07-06 03:17:13.500,35.7453333,-117.5608333,4.14
2019-07-06 03:19:53.040,35.7695,-117.5993333,7.1
2019-07-06 03:20:36.080,36.0068333,-117.8525,4.33
2019-07-06 03:20:41.140,35.9496667,-117.7376667,4.81
2019-07-06 03:21:10.050,35.8306667,-117.6601667,4.33
2019-07-06 03:21:19.190,35.5423333,-117.5053333,4.15
2019-07-06 03:22:03.570,35.9216667,-117.729,4.64
2019-07-06 03:22:17.100,35.748,-117.5456667,4.55
2019-07-06 03:22:27.160,35.6171667,-117.4275,4.46
2019-07-06 03:22:35.630,35.6166667,-117.4301667,4.73
2019-07-06 03:22:48.300,35.891,-117.7365,4.64
2019-07-06 03:23:07.570,35.8378333,-117.6406667,3.78
